0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
9104134	1956435	713357	70629	14126	0
7977594	1716295	547378	45909	10594	0
8277770	1751610	575630	49441	7063	3531
8193014	1783393	550910	42378	14126	3531
8719204	1719827	536784	60035	17657	3531
8108259	1557379	473217	24720	3531	0
8055287	1719827	512063	42378	7063	0
8274238	1677449	490875	45909	17657	7063
7839867	1553848	437902	31783	7063	0
8323679	1811645	430840	42378	10594	0
8164762	1444372	395525	35315	14126	0
8048224	1635071	444965	38846	10594	0
9082945	1846960	452028	45909	3531	0
9051162	1786925	335490	21189	7063	0
9552631	1822239	462623	42378	10594	3531
9489064	1903463	469686	24720	14126	10594
9598540	1846960	462623	35315	14126	3531
9157106	1688043	367273	17657	14126	3531
9439624	1984687	430840	38846	21189	3531
9358400	1691575	370805	21189	10594	3531
9344274	1875211	409651	35315	10594	0
9291302	1906995	423777	21189	7063	0
9587946	1726890	462623	35315	14126	3531
10304834	1857554	466154	38846	24720	0
9573820	1776330	413182	31783	21189	7063
8934623	1666855	430840	35315	10594	3531
9580883	1737484	437902	24720	10594	7063
8973470	1723358	367273	28252	17657	7063
9061756	1698638	409651	28252	10594	3531
8984064	1624477	353147	24720	7063	0
9421966	1776330	430840	35315	14126	3531
9344274	1719827	402588	35315	7063	3531
9817491	1804582	469686	24720	3531	0
10251862	2235422	614476	52972	10594	3531
10753331	2493219	833427	88287	21189	3531
11205360	2690981	939371	77692	14126	3531
11459626	2602695	879336	84755	14126	0
11364276	2818114	949966	67098	14126	3531
11812773	2698044	918183	81224	17657	10594
11593821	2683918	886399	52972	14126	7063
11699766	2878149	1034721	77692	14126	3531
12169451	2941716	1098288	102413	24720	3531
12137668	2998219	1105351	81224	21189	0
12116479	3051192	1066504	84755	10594	0
11971689	3188919	1172449	84755	7063	3531
11865745	3012345	1087693	91818	10594	3531
12155325	3037066	1055910	81224	21189	3531
10951094	2359023	716889	77692	17657	3531
11071164	2320177	632133	24720	14126	3531
11819836	2747485	1013532	77692	10594	3531
11650325	2835772	960560	74161	21189	3531
11431374	2514408	882868	77692	7063	3531
11530255	2450841	822833	60035	21189	0
11452563	2436715	773392	67098	14126	3531
11215954	2334303	716889	45909	10594	3531
11328961	2224827	660385	56504	10594	3531
10781583	2136540	618008	56504	17657	3531
11180639	2034128	614476	56504	10594	7063
11275989	2140072	681574	81224	14126	7063
11078227	2072974	550910	63566	21189	3531
10958157	1963498	554441	60035	17657	3531
11078227	2072974	505000	52972	24720	0
10866338	1811645	557973	52972	14126	10594
11159450	2076505	575630	63566	28252	0
10566163	1846960	582693	77692	17657	7063
10721548	1917589	600350	52972	10594	0
12240081	2553254	593287	14126	3531	0
11954032	2369617	522658	24720	10594	7063
11438437	2351960	603882	38846	14126	0
11597353	2320177	515595	24720	7063	0
11632668	2277799	459091	17657	3531	0
11590290	2295457	476749	24720	10594	7063
11244206	1998813	501469	35315	14126	3531
11085290	2076505	448497	14126	3531	3531
11247737	2080037	420245	38846	7063	0
11869276	2094163	512063	21189	10594	7063
11622073	2002344	448497	14126	10594	3531
12162388	2200107	526189	35315	3531	0
11939906	2087100	444965	35315	10594	0
11166513	2238953	391993	28252	14126	7063
11865745	2217764	459091	52972	17657	3531
11837493	2034128	413182	35315	17657	3531
11897528	2171855	512063	38846	3531	0
12021130	2154198	459091	21189	14126	3531
12388403	2182449	430840	35315	7063	3531
12787459	2327240	561504	31783	10594	3531
15485503	3648010	1140665	49441	10594	3531
18278897	4446123	1575036	109476	31783	3531
17788023	4650948	1553848	88287	28252	7063
23650266	6798083	2436715	137727	38846	3531
37454788	12091759	7045286	2147135	430840	24720
96271449	72317477	63898448	30857999	7737454	120070
144779744	128171233	122308990	67355759	20284773	247203
96794107	52841411	41417100	18434282	4308395	60035
168882038	156737307	145507227	76106746	20599074	208357
275610175	272883879	271488947	135347183	32210553	204825
237226609	234878181	225653977	109991217	30607265	247203
374604389	370896343	370896343	219636349	86627000	1303113
178229844	137564947	111103630	49811408	10131792	60035
250222425	247746863	238494408	123258956	32994540	314301
214370925	193874263	168165149	75651186	15471377	109476
158933882	57849037	12783927	2175387	434371	31783
131572040	56683652	9616197	618008	67098	3531
111658071	51407633	8994658	607413	74161	3531
95900645	40424756	7154762	480280	49441	7063
66730689	17113512	3125352	402588	35315	0
33690240	4559130	1401994	165979	31783	3531
22887468	3354898	1087693	56504	14126	3531
19995193	3492625	981749	49441	10594	0
19656171	3001751	844022	49441	17657	0
18568478	3068849	879336	42378	7063	3531
17999911	3033534	812238	56504	14126	7063
18925157	3022940	904057	45909	14126	3531
17579666	2842835	752203	45909	3531	3531
16972253	2758079	752203	24720	14126	3531
17427813	2789863	656854	38846	10594	3531
16340119	2556785	674511	63566	21189	0
15912811	2708639	670980	10594	3531	0
15810399	2546191	628602	28252	7063	0
18056415	3404339	773392	31783	10594	3531
73567618	10555569	1680981	35315	3531	0
73691219	10612072	1560910	49441	7063	0
71572336	10573226	1652729	42378	3531	3531
69252159	9595009	1663323	56504	10594	0
67126213	9358400	1345491	28252	3531	0
66109150	8927560	1359617	31783	3531	0
63880791	8645043	1412589	49441	7063	3531
61991454	8362525	1313707	38846	7063	0
60031487	7550286	1154791	38846	7063	3531
57414666	7437279	1324302	38846	14126	3531
56782533	7260706	1108882	28252	3531	0
56097427	6667419	1045316	49441	3531	0
55129804	6723922	1158323	24720	10594	0
54013859	6476719	995875	31783	3531	3531
53307565	6268362	1017064	10594	7063	0
52509452	5982313	896994	17657	7063	3531
51082738	5480844	935840	45909	10594	3531
49716058	5625634	1013532	14126	3531	0
48063329	5314865	861679	24720	0	0
47060391	5198326	882868	28252	3531	0
48808470	6024691	1373742	49441	14126	3531
53699558	7730391	2087100	81224	10594	3531
48126896	6812209	1737484	74161	10594	3531
49553610	7688014	2058848	98881	10594	0
44312906	6300145	1617414	88287	35315	3531
44584830	6964062	1956435	113007	17657	0
121832241	84723537	73468737	29851530	5918747	52972
176612430	157461259	153188178	73362792	18964003	176574
129721549	92139627	84133781	36360032	6660356	52972
239624478	232211919	232141290	115055347	28975725	158916
679631722	672904269	672904269	386318280	111206043	211888
671092624	664449926	664449926	349509751	98143129	197762
472087132	467414995	467414995	274102236	86863609	307238
531507675	526245782	526245782	314728286	104047750	579161
320382173	317210911	317210911	181390511	53650118	218951
189301007	77173250	23547853	8051755	2196575	31783
169503577	59710123	8369588	621539	60035	3531
155070452	52004452	7045286	459091	74161	3531
130438437	38846188	5459655	349616	24720	0
100346767	23148797	3436122	317832	35315	0
55853756	7260706	1793988	169511	21189	3531
37278215	4583850	1190106	77692	7063	0
30790901	4085913	1017064	42378	7063	3531
28788557	4082381	914651	28252	7063	0
29332404	4216577	960560	42378	7063	0
27870374	4068255	967623	45909	10594	0
26344779	3930528	868742	56504	3531	0
26267086	3810458	815770	24720	7063	0
25302994	3679793	759266	42378	10594	0
25769149	3941122	815770	42378	7063	0
25747960	3439653	829896	38846	24720	0
23537259	3824584	794581	38846	7063	0
22809775	3453779	702763	24720	10594	0
23650266	3538535	702763	35315	14126	3531
17117043	3418465	660385	31783	0	0
16082322	2973499	649791	52972	17657	14126
16597917	3344304	695700	21189	7063	3531
16788616	3047660	632133	28252	10594	3531
16248301	3277206	681574	31783	7063	3531
15580853	2924059	533252	21189	7063	3531
14609698	2751016	529721	17657	3531	0
15026412	2881681	596819	45909	10594	3531
15252426	2959373	610945	10594	3531	3531
15022880	2796926	536784	45909	14126	3531
14645013	2839303	547378	38846	3531	3531
14231831	2535597	550910	17657	10594	3531
13998754	2761611	522658	21189	10594	3531
14115292	2712170	600350	42378	3531	3531
14048194	2715702	565035	24720	3531	0
14214173	2906401	579161	24720	3531	0
13829243	2828709	589756	28252	10594	7063
13790397	2641541	575630	35315	14126	0
13271271	2620352	483812	38846	14126	0
13627949	2648604	501469	17657	7063	3531
19617325	5021753	1628008	91818	35315	0
21665579	5124165	1599757	116539	28252	3531
49108645	17650295	11713892	4601508	1080630	17657
112533876	91624032	85850076	48720183	14662670	109476
266424817	263790339	263790339	172678370	76721222	1179512
316264477	313135593	313135593	204740601	82961332	886399
413648339	409555364	409555364	263942192	111785204	1416120
136057009	114967060	102981245	66614150	30183488	543847
199528149	188019083	182478204	119713358	51333472	625070
128241862	102988308	86111405	55136867	24554322	469686
119148323	79998428	57619492	35646675	15390154	264860
423797789	419602400	419602400	269889191	107045969	995875
123421403	76760068	51065080	30579013	14228299	402588
137063478	98040716	71914889	42543639	16029350	264860
402488889	398505389	398505389	269486603	121931122	1454966
131028193	48384693	12353088	2217764	476749	14126
103457994	43359409	7857524	653322	95350	7063
92422145	37772621	6720391	501469	74161	3531
76357480	28664956	4633291	395525	49441	7063
63467609	20207081	3623290	406119	56504	7063
48250497	11388996	2556785	324895	38846	7063
36126955	6730985	1850491	236609	35315	7063
27326528	4809864	1331365	141259	21189	7063
21005193	4304864	1211295	105944	17657	3531
19239458	4096507	1133602	81224	24720	3531
19398374	4251892	1059442	67098	17657	7063
20422501	4672137	1281924	81224	21189	7063
18501380	4096507	988812	35315	14126	3531
18384841	4223640	1017064	38846	14126	3531
17547883	3700982	907588	38846	17657	3531
17067603	3686856	801644	38846	17657	3531
17639701	3693919	766329	45909	17657	3531
17678547	3895213	889931	52972	17657	10594
16972253	3845773	787518	35315	10594	3531
16029350	3570318	699231	38846	10594	3531
15965783	3595038	769861	45909	17657	0
16410749	3690388	738078	38846	10594	3531
16297742	3750423	723952	24720	7063	0
17498442	4050598	798113	31783	7063	0
16965190	3718640	773392	28252	17657	10594
15107636	3485563	607413	28252	7063	0
16322462	3609164	727483	35315	14126	10594
15089978	3259548	702763	35315	14126	10594
14175327	3167730	614476	21189	3531	3531
15019349	3167730	642728	38846	21189	10594
14115292	2881681	561504	38846	17657	10594
14320118	3157136	579161	28252	7063	0
14302460	3125352	653322	28252	14126	3531
13744488	2849898	561504	35315	14126	3531
14189453	3167730	603882	31783	17657	7063
13295991	2818114	614476	28252	7063	0
12342493	2525002	508532	42378	24720	7063
12391934	2701576	550910	49441	7063	0
12441375	2387275	462623	21189	10594	3531
13059382	2701576	572098	24720	3531	0
12720361	2849898	681574	31783	7063	0
18882779	4435528	1419652	116539	31783	3531
23950441	5071193	1790456	165979	45909	3531
20072885	4488500	1649197	141259	38846	3531
17360715	4431997	1582099	173042	52972	7063
18628513	4520284	1705701	158916	17657	3531
23431315	5540879	2203638	282518	63566	14126
23162923	5417278	2002344	218951	63566	10594
26168205	6031754	2517939	271923	52972	7063
18409562	4933466	1825771	169511	42378	7063
23067573	5318396	2203638	236609	52972	3531
41028638	8030567	3457311	593287	141259	7063
67998487	25564323	18646170	10629730	4167137	74161
73104995	16273021	6455530	1928184	543847	17657
40463602	6056474	2002344	211888	60035	7063
46650741	8291895	3351367	469686	77692	17657
17971659	3926996	1370211	113007	10594	3531
15983441	3743360	1267798	84755	21189	0
16481378	3965843	1483218	95350	17657	7063
13518474	2984094	822833	77692	21189	0
12727424	2874618	829896	67098	10594	3531
12215360	2825177	776924	42378	14126	3531
13190047	3075912	865211	60035	14126	0
12088228	2888744	762798	56504	14126	0
11477283	2577974	685106	35315	17657	3531
11816304	2761611	727483	28252	10594	3531
12423717	2821646	702763	28252	7063	3531
10742737	2200107	568567	28252	7063	3531
12158857	2623883	529721	52972	7063	0
11625605	2779268	660385	24720	3531	0
10728611	2373149	550910	38846	10594	0
11484346	2616821	610945	28252	3531	0
11607947	2645072	575630	24720	3531	0
11597353	2599163	610945	31783	3531	0
0	0	0	0	0	0
0	0	0	0	0	0
