0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
4667899	968330	220364	72042	48734	21189
4184794	887812	182224	33902	21189	8476
5006921	1093344	290287	67804	38140	14832
4663661	951378	216126	63566	31783	6357
4369137	843315	180105	44497	23308	8476
4405158	938665	207651	57210	27545	4238
4396682	877218	182224	57210	31783	12713
4542885	953497	211888	59329	29664	16951
4263193	830602	169511	27545	12713	6357
4197507	841197	186462	52972	23308	8476
4468724	913239	199175	48734	33902	6357
4629759	898406	180105	46615	25427	12713
4564074	836959	171630	52972	25427	8476
4358542	864504	194937	44497	29664	10594
4551361	896288	207651	44497	21189	6357
4390326	866623	146203	46615	29664	6357
4432703	938665	218245	52972	16951	4238
4464486	898406	167392	42378	23308	4238
4540766	875099	188581	61448	25427	8476
4381850	889931	161035	36021	19070	4238
4479319	868742	144084	40259	16951	8476
4354305	913239	177986	48734	25427	10594
4322521	849672	175867	36021	12713	4238
4322521	921714	218245	50853	27545	12713
4146654	756441	144084	23308	10594	0
4138178	830602	171630	38140	16951	0
4506864	794581	146203	44497	23308	14832
4413633	786106	135609	38140	23308	14832
4364899	786106	171630	40259	21189	14832
4383969	786106	163154	42378	29664	12713
4301332	722539	137727	46615	14832	10594
4102157	790343	186462	31783	14832	6357
4430584	803057	165273	27545	19070	6357
4417871	853910	167392	50853	27545	10594
4356423	803057	169511	42378	31783	16951
4394563	773392	144084	23308	12713	4238
4400920	875099	167392	33902	19070	6357
4182675	864504	156797	31783	6357	4238
4411514	858148	148322	40259	23308	6357
4358542	872980	173748	50853	23308	4238
4396682	870861	184343	59329	29664	12713
4377612	851791	144084	25427	14832	4238
4441179	754322	133490	38140	23308	14832
4595857	892050	154678	40259	25427	10594
4396682	887812	158916	33902	12713	4238
4356423	864504	156797	27545	12713	2119
4250479	803057	141965	21189	10594	0
4381850	875099	144084	42378	31783	10594
4381850	879336	148322	31783	16951	6357
4356423	813651	150441	19070	10594	2119
4498389	925952	154678	31783	19070	2119
4426347	841197	152560	38140	14832	8476
4367018	834840	125014	31783	21189	8476
4316165	896288	105944	25427	16951	2119
4254717	790343	114420	42378	16951	6357
4352186	856029	114420	14832	8476	6357
4263193	758560	116539	31783	12713	0
4432703	820008	152560	27545	19070	4238
4191151	870861	167392	21189	6357	2119
4345829	788224	120776	23308	12713	2119
4144535	809413	150441	14832	10594	0
4231409	803057	108063	14832	8476	0
4441179	887812	144084	29664	14832	4238
4201745	803057	150441	27545	8476	2119
4205983	847553	139846	36021	10594	4238
4508983	839078	144084	14832	10594	2119
4330997	769155	101706	33902	16951	4238
4360661	828483	108063	29664	16951	4238
4419990	803057	118657	10594	8476	0
4320402	815770	135609	21189	10594	6357
4218696	849672	120776	23308	6357	0
4083088	764917	122895	29664	10594	2119
4218696	822127	129252	19070	14832	6357
4138178	790343	93231	14832	10594	2119
4496270	866623	135609	25427	12713	2119
4233528	868742	114420	31783	10594	0
4545004	826364	110182	21189	6357	2119
4322521	762798	120776	19070	6357	2119
4356423	856029	108063	21189	4238	2119
4008927	716182	110182	19070	8476	2119
4144535	815770	112301	16951	8476	4238
4426347	839078	99588	21189	12713	4238
4216577	724658	105944	16951	4238	4238
4055542	760679	112301	16951	2119	0
4100039	805176	120776	23308	0	0
4650948	811532	101706	25427	10594	0
4345829	805176	86874	8476	4238	2119
4278025	756441	131371	16951	10594	4238
4125465	792462	91112	21189	2119	0
4398801	805176	127133	16951	10594	0
4371256	783987	95350	19070	12713	2119
4511102	794581	120776	19070	8476	4238
4585263	866623	101706	19070	14832	4238
4280144	781868	112301	16951	4238	0
4373375	826364	101706	21189	10594	0
4248360	783987	101706	19070	12713	6357
4542885	824245	86874	6357	4238	2119
4689088	817889	103825	19070	6357	0
4320402	747966	97469	10594	8476	0
4462368	853910	108063	16951	0	0
4447535	860266	82636	8476	4238	0
4320402	790343	110182	12713	8476	0
4468724	898406	114420	14832	6357	0
4532291	781868	86874	19070	8476	2119
4225053	752203	95350	14832	2119	0
4398801	843315	141965	23308	8476	2119
4273787	758560	82636	21189	8476	0
4299214	828483	103825	19070	2119	0
4587382	817889	101706	14832	2119	0
4335235	783987	93231	14832	8476	2119
4292857	834840	93231	12713	10594	8476
4477200	836959	120776	16951	10594	0
4411514	750085	103825	10594	4238	0
4239885	769155	84755	8476	6357	2119
4237766	803057	108063	14832	0	0
4095801	682280	84755	16951	6357	2119
4165724	771273	108063	10594	2119	0
4394563	898406	93231	8476	2119	0
4555598	828483	103825	8476	6357	2119
4163605	771273	72042	8476	0	0
4322521	805176	74161	12713	8476	2119
4413633	826364	97469	10594	2119	0
4536529	807294	91112	10594	4238	2119
4269549	781868	93231	12713	2119	0
4443298	836959	97469	6357	2119	0
4517459	779749	69923	12713	6357	4238
4386088	741609	63566	4238	2119	0
4411514	775511	74161	10594	2119	0
4214458	690756	69923	4238	2119	0
4330997	724658	72042	14832	6357	2119
4307689	817889	80518	4238	0	0
4186913	775511	101706	12713	4238	0
4220815	813651	82636	12713	4238	0
4116990	635665	63566	2119	2119	0
4371256	815770	74161	12713	2119	2119
4445417	728896	97469	6357	2119	0
