0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
0	0	0	0	0	0
5793026	1182337	108063	10594	0	0
5752767	1084868	99588	16951	4238	0
5733697	1008588	88993	12713	4238	0
6064243	1212001	114420	6357	4238	0
5898970	1110295	101706	19070	4238	2119
5570543	1025539	101706	19070	2119	0
5623515	961973	103825	25427	10594	0
5653180	1082749	103825	16951	2119	0
5631991	1059442	88993	4238	2119	2119
5562068	1044609	84755	8476	4238	0
5504858	978924	97469	10594	6357	0
5718865	1048847	93231	6357	0	0
5725222	1084868	103825	14832	6357	0
5807858	1002232	78399	6357	0	0
5566306	949260	69923	12713	0	0
5718865	1078511	125014	14832	2119	0
5701914	1080630	95350	6357	2119	0
5644704	1012826	105944	12713	4238	0
5684963	995875	80518	10594	2119	0
5788788	1048847	84755	10594	0	0
5631991	1053085	91112	8476	2119	2119
5659536	1027658	110182	6357	0	0
5776075	1129365	105944	6357	2119	0
5744292	995875	67804	10594	4238	0
5744292	1070036	97469	10594	4238	0
5466718	972567	84755	14832	0	0
5761243	1034015	74161	8476	2119	0
5684963	1040372	76280	12713	6357	0
5905327	1169623	80518	12713	6357	0
5782432	1192931	69923	8476	0	0
6151117	1078511	86874	12713	2119	0
5896851	1186574	105944	10594	2119	2119
5784551	1129365	101706	10594	4238	2119
5896851	1070036	78399	12713	4238	0
5725222	1046728	78399	10594	0	0
5765481	1084868	76280	6357	0	0
5934991	1127246	80518	6357	6357	0
5839642	1078511	88993	8476	4238	2119
5977369	1078511	105944	12713	4238	2119
5765481	1116651	95350	10594	0	0
5602327	1091225	108063	19070	4238	0
5670131	940784	72042	4238	4238	0
5562068	936546	82636	4238	2119	0
5845998	1059442	61448	0	0	0
5782432	1091225	95350	8476	0	0
5920159	1103938	80518	19070	0	0
5693439	1078511	95350	14832	4238	0
5670131	1014945	84755	4238	0	0
5737935	957735	76280	10594	4238	0
5644704	987399	93231	12713	2119	0
5426459	902644	63566	14832	2119	0
5591732	1057323	69923	8476	2119	0
5653180	925952	65685	4238	0	0
5665893	1036134	91112	6357	2119	0
5437054	976805	93231	10594	0	0
5545117	1021302	74161	4238	0	0
5636229	976805	72042	12713	6357	0
5644704	1044609	76280	12713	4238	0
5475194	932309	69923	4238	2119	0
5562068	1040372	80518	4238	0	0
5831166	1019183	69923	4238	0	0
5547236	968330	88993	4238	0	0
5360774	1004351	95350	12713	2119	0
5674369	1055204	78399	6357	2119	0
5555711	934427	65685	12713	2119	0
5801502	1061560	82636	8476	2119	0
5809977	1036134	91112	8476	2119	2119
5795145	942903	91112	4238	0	0
5619278	919595	78399	10594	6357	2119
5553592	1010707	72042	10594	2119	0
5542998	928071	74161	12713	4238	0
5324753	961973	57210	10594	4238	0
5579019	995875	86874	8476	0	0
5602327	947141	59329	8476	2119	0
5752767	1067917	76280	4238	0	0
5718865	919595	50853	0	0	0
5767600	1010707	88993	12713	4238	0
5593851	1008588	65685	8476	2119	0
5697676	942903	63566	4238	0	0
